#ID	start_group[0-10]	arrival_time_s_after_start
M12949	1	1086.0
M1083	1	1086.0
M1240	1	1087.0
F14	0	1088.0
F45	0	1089.0
M1022	1	1089.0
M1204	1	1090.0
P1551	1	1090.0
M2099	2	1091.0
M4512	1	1091.0
M2375	1	1093.0
M1119	1	1093.0
M2200	1	1094.0
M2347	2	1094.0
P2878	1	1095.0
M10606	1	1095.0
M1166	1	1096.0
M3202	2	1096.0
P1341	1	1096.0
F43	0	1098.0
M2291	2	1098.0
M3882	1	1099.0
M1125	1	1100.0
M13137	1	1100.0
M4691	1	1100.0
P1325	1	1100.0
M1195	1	1100.0
M4795	2	1100.0
M1227	1	1102.0
M2046	2	1103.0
M164	0	1104.0
M1080	1	1104.0
M1094	1	1105.0
M2317	2	1107.0
M13394	2	1107.0
M12012	1	1108.0
M163	0	1108.0
M1056	1	1108.0
F57	0	1108.0
P2535	1	1109.0
F22	0	1109.0
M2367	1	1110.0
M13078	1	1110.0
M3395	1	1110.0
M1245	1	1111.0
M1142	1	1111.0
M1200	1	1111.0
M1066	1	1111.0
M1085	1	1111.0
M2374	1	1112.0
P2503	2	1113.0
M1161	1	1114.0
M1105	1	1114.0
P2848	1	1117.0
M3756	1	1117.0
M2202	1	1119.0
M11299	1	1121.0
M3236	1	1122.0
M1191	1	1122.0
M1123	1	1123.0
M1059	1	1123.0
M1238	1	1123.0
F32	0	1124.0
F71	0	1124.0
F85	0	1124.0
M13136	1	1125.0
M5288	1	1125.0
M1057	1	1126.0
P1634	1	1126.0
M3238	1	1127.0
M1193	1	1127.0
M2329	1	1128.0
M3399	1	1128.0
M1148	1	1130.0
M1130	1	1132.0
M11680	1	1133.0
M1150	1	1133.0
M1230	1	1135.0
F69	0	1135.0
M1016	1	1135.0
M5296	1	1136.0
P1214	1	1136.0
M1152	1	1137.0
M3222	1	1138.0
F76	0	1140.0
M13108	1	1140.0
M11044	1	1141.0
F61	0	1141.0
M3730	1	1141.0
M1122	1	1142.0
M2368	1	1142.0
F54	0	1142.0
F93	0	1142.0
M7970	1	1143.0
M1175	1	1143.0
M1211	1	1143.0
P1025	1	1144.0
M1188	1	1145.0
M1121	1	1146.0
M1048	1	1148.0
M5259	1	1149.0
M4797	2	1150.0
M1158	1	1151.0
F63	0	1152.0
F4057	1	1152.0
M1231	1	1153.0
M13326	1	1153.0
M1153	1	1153.0
P1131	1	1153.0
F92	0	1153.0
M1007	1	1154.0
M3826	2	1154.0
M1213	1	1154.0
M2248	2	1154.0
M1212	1	1154.0
M1089	1	1155.0
M1117	1	1155.0
P2730	2	1156.0
M2379	1	1156.0
P2906	1	1156.0
M11683	2	1157.0
M1159	1	1157.0
M1232	1	1157.0
P2970	1	1157.0
M1118	1	1157.0
M11108	1	1158.0
P2268	1	1159.0
M1233	1	1161.0
M3323	1	1161.0
M1053	1	1161.0
M6321	1	1161.0
M277	0	1162.0
M2285	2	1162.0
M1167	1	1163.0
M1169	1	1163.0
M1192	1	1165.0
M1243	1	1165.0
M1062	1	1165.0
M2045	2	1167.0
M1110	1	1167.0
M1041	1	1168.0
P1728	1	1168.0
M1244	1	1168.0
M1194	1	1169.0
M1049	1	1169.0
M3726	2	1169.0
F52	0	1169.0
M1229	1	1170.0
M1187	1	1170.0
F86	0	1171.0
M4787	1	1171.0
F67	0	1171.0
M13039	1	1172.0
V1055	1	1172.0
F89	0	1173.0
M1004	1	1173.0
M2041	2	1174.0
M2337	1	1174.0
M1072	1	1174.0
P2421	1	1174.0
P2021	2	1174.0
M13311	1	1176.0
M3759	1	1177.0
M1120	1	1178.0
P2994	1	1178.0
M1210	1	1179.0
M1182	1	1179.0
P2716	1	1179.0
M3330	2	1179.0
M3363	1	1182.0
F64	0	1183.0
M2117	2	1184.0
M1111	1	1184.0
M7990	2	1184.0
P1968	1	1185.0
M1047	1	1185.0
M10937	2	1185.0
M13389	1	1186.0
M2054	1	1186.0
M1235	1	1187.0
M1100	1	1187.0
M1099	1	1188.0
F90	0	1189.0
M1221	1	1189.0
M4754	2	1190.0
M2186	2	1190.0
M1074	1	1190.0
P2691	1	1191.0
P1337	1	1192.0
P2296	1	1192.0
F10578	1	1192.0
M1162	1	1193.0
M1045	1	1193.0
M1035	1	1194.0
P1807	1	1194.0
P1874	2	1194.0
M2340	1	1194.0
P2149	2	1195.0
M2243	2	1195.0
M207	0	1195.0
M2311	2	1195.0
M1160	1	1195.0
M3260	1	1196.0
M3226	2	1196.0
M1157	1	1196.0
M12032	2	1196.0
P1156	1	1197.0
M1011	1	1197.0
M1037	1	1197.0
M3281	1	1198.0
M1046	1	1198.0
M1060	1	1198.0
M1084	1	1198.0
M3342	1	1199.0
M2080	2	1199.0
M1236	1	1199.0
M3343	1	1200.0
M1203	1	1200.0
M2305	2	1201.0
P2683	1	1201.0
P2454	2	1201.0
M1237	1	1202.0
M3258	1	1202.0
P1294	1	1202.0
M3997	2	1203.0
M2194	2	1204.0
F68	0	1205.0
V1212	2	1205.0
M11659	2	1205.0
M3692	2	1205.0
M11673	1	1205.0
M1241	1	1206.0
M1132	1	1206.0
M1039	1	1206.0
P2629	1	1206.0
M4516	2	1206.0
F53	0	1206.0
M2077	1	1207.0
M2150	2	1207.0
M2224	2	1207.0
M2359	2	1207.0
M2318	2	1207.0
M2316	2	1207.0
M1207	1	1208.0
M2234	2	1208.0
M2331	2	1208.0
M2044	2	1209.0
M2233	2	1209.0
M1234	1	1209.0
M1103	1	1210.0
M2284	2	1210.0
M1184	1	1211.0
M1088	1	1211.0
P1850	1	1212.0
M3269	2	1214.0
M3341	1	1215.0
M12489	2	1215.0
M1181	1	1215.0
M2306	2	1215.0
M3255	1	1215.0
P2747	1	1215.0
M1164	1	1215.0
M2236	2	1216.0
M7985	2	1216.0
M3986	2	1217.0
P1898	2	1217.0
M2178	2	1217.0
P1533	2	1218.0
M2330	2	1218.0
P1205	1	1218.0
M13165	2	1219.0
M2250	2	1219.0
M3257	1	1220.0
M3206	1	1221.0
M2198	2	1222.0
M2205	2	1223.0
M2342	1	1223.0
M1043	1	1223.0
M2084	2	1223.0
F38	0	1224.0
P1318	2	1225.0
M151	0	1226.0
P1487	1	1226.0
M1077	1	1226.0
M1140	1	1226.0
M4179	1	1227.0
M12966	2	1228.0
M1185	1	1228.0
M2274	2	1229.0
M2262	2	1229.0
M2083	2	1230.0
P1661	2	1230.0
M2373	1	1230.0
M2213	2	1230.0
M4744	2	1231.0
–	2	1231.0
M3761	2	1232.0
M3745	2	1232.0
M2267	2	1233.0
M2241	2	1233.0
M3734	1	1233.0
M1075	1	1233.0
M2139	2	1234.0
M4198	1	1234.0
M1141	1	1235.0
F3016	3	1235.0
M1108	1	1235.0
M2261	2	1235.0
M1095	1	1236.0
M1034	1	1236.0
M4178	2	1236.0
F55	0	1236.0
M4788	2	1236.0
P1593	1	1237.0
P2173	1	1238.0
M1155	1	1238.0
M2170	2	1238.0
M2321	2	1239.0
M1079	1	1239.0
M4764	2	1240.0
M1033	1	1240.0
M3724	2	1240.0
M3272	1	1240.0
M3048	3	1241.0
P1477	1	1241.0
M2390	2	1241.0
M3268	2	1241.0
M2108	2	1242.0
M3397	2	1242.0
M1032	1	1242.0
P3001	2	1243.0
M11216	2	1244.0
M3841	2	1244.0
